a,b,c,d,e,f,g,h,label
4,2,1,-1,0,-1,1,-1,rest
2,-1,-1,0,-1,1,1,0,rest
2,3,0,0,0,0,2,1,rest
-6,0,-3,-1,-2,0,0,-3,rest
13,6,2,1,-1,0,2,0,rest
0,-1,-2,0,-1,0,2,0,rest
-1,0,0,0,-2,-1,2,-2,rest
-2,1,2,1,-2,0,11,0,rest
1,1,0,0,-2,-2,-1,1,rest
-1,-3,0,-2,-1,-1,-1,-2,rest
-9,-2,1,-1,-1,-2,-2,-4,rest
1,-2,-2,-1,-2,1,-1,1,rest
-5,-1,1,0,0,-1,-2,-2,rest
3,2,-2,-1,0,-1,5,-2,rest
-4,2,-2,-3,0,-1,-1,0,rest
8,-1,-1,1,0,-1,0,-3,rest
-3,1,1,-2,1,0,1,1,rest
15,1,0,0,-2,-1,-2,-5,rest
2,0,-3,-2,-2,-1,0,1,rest
-3,-3,1,0,-2,0,0,-5,rest
6,0,-1,-1,0,-1,-1,-2,rest
0,-2,-1,-1,-1,-1,1,-1,rest
-3,3,0,-1,0,1,2,-3,rest
2,4,2,0,-1,-1,0,-3,rest
-3,-2,-3,-1,-2,-1,-4,3,rest
-4,2,0,0,-2,-2,-2,5,rest
-1,1,-2,0,0,-1,-1,0,rest
-3,2,-1,-2,-2,0,1,1,rest
-17,-2,-1,0,1,1,-4,-8,rest
-2,-2,-3,-2,0,-1,2,2,rest
3,-2,0,0,0,-1,-11,-10,rest
0,1,0,1,0,0,4,-3,rest
-1,0,0,0,-2,-1,0,-10,rest
3,0,1,0,0,1,0,-9,rest
1,2,0,-1,-2,-2,0,-3,rest
10,-1,0,-2,-2,-1,-3,-3,rest
-1,-1,-2,0,-1,-1,-1,-2,rest
-20,-6,-5,1,-2,-2,-5,5,rest
9,2,0,0,0,-1,3,-2,rest
-1,2,-1,0,-1,-1,-10,-2,rest
7,-2,-3,-2,-1,-2,3,1,rest
0,4,1,-2,-2,-1,1,-4,rest
6,3,0,0,-1,-1,4,9,rest
-2,0,1,1,-1,-1,1,-5,rest
8,-2,-2,-2,0,0,1,-5,rest
-11,2,-2,-1,0,-2,-3,-7,rest
3,2,0,-1,0,0,-1,-4,rest
-6,0,0,1,0,0,0,-4,rest
8,-1,-2,-1,1,0,-1,-2,rest
0,1,-2,0,-2,0,2,-8,rest
1,4,0,0,-1,-2,0,-2,rest
6,0,-1,1,0,0,1,-6,rest
-5,-4,-2,-1,-1,-1,1,-1,rest
-2,1,0,-2,-1,-1,0,-1,rest
-12,-1,0,-2,0,0,-4,0,rest
10,1,0,1,0,-1,1,3,rest
-18,-12,-3,-1,-1,-3,-2,-6,rest
0,-3,-1,-2,-1,0,13,0,rest
-7,-5,-3,-1,-1,-2,-2,-6,rest
8,0,-2,-1,-2,-1,-1,20,rest
-6,0,0,1,-1,-1,0,-8,rest
0,1,-1,0,0,0,-10,-1,rest
-22,-6,-4,-2,-1,-2,2,-11,rest
2,3,0,-2,-2,-1,0,3,rest
16,0,-2,-2,-1,-2,2,-9,rest
15,-6,-3,0,0,1,-3,-10,rest
-11,-1,-2,0,-1,-2,0,2,rest
-9,-1,-3,-2,-1,-2,0,11,rest
-9,-3,-2,0,0,-1,0,-4,rest
-11,-5,2,-1,-1,-2,0,-3,rest
-2,-1,-2,-1,-2,0,1,2,rest
-20,-5,-1,0,0,-1,0,0,rest
2,0,-1,-1,-2,-1,0,3,rest
7,5,1,0,0,-1,0,2,rest
7,-2,-2,0,-1,-2,0,-3,rest
4,3,2,0,0,0,1,7,rest
1,-2,-2,-2,-2,-1,0,-4,rest
18,0,1,1,-1,-2,0,-3,rest
2,-4,0,0,-1,0,2,-1,rest
4,-1,-3,-1,-3,-1,-1,-7,rest
2,-2,0,-1,-1,-1,1,-2,rest
2,0,0,1,-1,0,1,-3,rest
8,-3,-1,-2,-2,-1,0,-3,rest
-4,1,0,0,1,-1,0,-4,rest
-8,-5,-3,-2,-1,0,0,-4,rest
2,0,1,0,-1,-1,-1,1,rest
1,0,-2,0,-1,-1,0,-1,rest
1,3,-1,-1,-2,0,1,5,rest
-11,-1,-1,0,-1,-1,0,-3,rest
1,-2,-2,-1,-1,0,-1,0,rest
-3,1,-1,0,0,-1,-1,14,rest
-5,-3,-2,-1,-1,-1,0,-4,rest
-5,0,0,-1,-1,-1,0,3,rest
-5,-4,-2,-1,-1,-1,-2,-2,rest
1,-5,-3,0,0,0,0,-2,rest
-7,-2,0,0,-2,-2,-1,-4,rest
-4,-5,-3,-1,-2,-1,0,-1,rest
4,1,0,0,-1,0,0,-7,rest
1,-1,0,0,-2,0,0,-3,rest
-4,-1,-1,0,-1,0,0,5,rest
-8,-3,-3,-1,-1,-1,-1,0,rest
4,2,1,-1,0,-1,0,4,rest
-4,3,-1,-2,-1,-2,0,-2,rest
-1,-1,0,0,-1,0,2,-7,rest
-5,1,0,-1,-2,-1,0,-2,rest
-7,-6,-1,-1,-1,0,0,-4,rest
2,-1,0,-2,0,-1,-1,-6,rest
4,2,1,1,-1,-1,-1,0,rest
-5,-4,-2,-1,-2,0,2,-8,rest
-3,-1,0,0,-1,-1,1,-3,rest
4,1,-2,0,-1,1,0,-5,rest
0,4,1,0,-2,-1,1,-5,rest
-7,-1,-1,-1,-2,0,0,13,rest
-6,-3,-2,-2,0,0,0,-7,rest
-2,-3,-3,-1,-1,0,-1,-1,rest
-1,0,-1,0,-1,0,0,-3,rest
-8,-2,-1,-1,-2,-2,2,-4,rest
12,3,-1,0,-2,0,1,2,rest
-4,-3,-1,1,0,0,0,-2,rest
0,-2,0,0,-2,-1,0,-4,rest
2,0,-2,-1,-1,-2,0,16,rest
8,-2,0,1,0,-1,0,-4,rest
-1,1,0,0,-1,-1,-1,-7,rest
1,2,-1,0,-2,-1,2,-8,rest
-1,-2,-1,-2,-1,-1,-1,2,rest
11,2,-1,-1,-2,1,2,-4,rest
-12,-1,0,-1,-1,-1,0,0,rest
6,-5,-3,-2,-2,-1,0,-2,rest
-6,1,0,0,-1,-2,0,18,rest
2,0,-2,-1,0,-2,0,-8,rest
13,-1,-2,-2,-2,0,0,5,rest
2,2,-1,-1,-1,-1,1,-3,rest
13,2,-1,1,-2,1,-1,-2,rest
3,-2,-2,-1,-2,0,1,-1,rest
0,0,-1,0,-1,-1,1,0,rest
13,2,2,0,-1,-1,0,-3,rest
15,0,-1,0,0,-1,1,4,rest
-14,-3,-1,0,0,0,0,-8,rest
1,2,-1,2,-1,1,1,-11,rest
64,5,-1,0,0,2,4,5,rest
-7,2,-1,-2,-2,-2,-2,15,rest
-4,5,1,0,-1,0,0,-7,rest
1,9,4,-1,-2,0,2,1,rest
-15,-8,-3,-1,-1,-1,-1,-10,rest
-1,3,-1,1,-1,-2,-5,-1,rest
4,-6,-3,-2,-1,0,-1,0,rest
5,4,3,1,-1,0,2,-4,rest
-2,-4,-2,-2,-1,-1,0,1,rest
4,3,0,-1,-1,-1,1,0,rest
0,0,-3,-4,-1,-2,-1,-3,rest
1,-2,-2,-1,0,0,1,-1,rest
7,-1,-2,-1,-1,-2,2,-2,rest
2,-2,-2,-1,-2,0,1,-2,rest
0,2,0,-2,0,-1,1,-1,rest
1,-1,1,0,0,-1,1,3,rest
6,0,-1,1,-1,-1,1,-4,rest
1,-2,-1,-1,0,0,1,-4,rest
3,-1,-1,1,1,-1,-1,-1,rest
-9,-2,0,0,-1,-2,0,-2,rest
0,-4,-2,0,-2,0,2,-2,rest
-14,-2,-2,-2,0,-1,0,-6,rest
1,-1,-3,-1,0,-1,0,0,rest
5,-1,0,-1,-1,-2,2,-1,rest
0,0,-4,-1,0,-2,0,-3,rest
7,3,1,0,-3,-2,-1,-5,rest
0,-1,-2,-2,0,-1,0,-1,rest
1,-5,-1,-1,-1,0,-1,-1,rest
2,-2,-1,-1,-3,0,0,-5,rest
2,2,0,0,0,-1,2,2,rest
-2,-4,-1,-1,-1,1,0,-6,rest
3,1,0,-2,-2,-1,1,1,rest
-1,2,1,-1,0,0,0,1,rest
-1,0,-1,0,-1,0,1,-1,rest
3,-1,-1,-2,-1,-1,1,-2,rest
-2,0,0,0,0,0,0,-4,rest
-4,1,0,2,0,-1,-2,14,rest
-7,-1,-1,-1,-1,-1,2,-3,rest
8,1,0,0,0,-1,1,-5,rest
6,2,1,0,-1,0,0,19,rest
1,-1,-1,0,-3,-1,3,-7,rest
1,-3,0,0,-1,0,-1,0,rest
2,1,0,-1,-2,1,0,-5,rest
-1,-2,0,0,0,0,1,0,rest
1,-3,0,1,0,0,0,-2,rest
-3,-1,-2,0,-1,-1,1,-6,rest
-1,-4,-2,-1,0,0,0,3,rest
3,3,2,-1,-1,-1,-1,17,rest
0,-5,-2,-1,0,-1,0,-5,rest
0,-1,-1,-1,0,0,1,-3,rest
4,0,0,0,-2,0,1,0,rest
-8,2,-1,-1,-1,0,1,-4,rest
-1,-2,0,0,-1,-1,-1,10,rest
3,0,0,-1,-3,-1,1,-3,rest
-4,-1,-1,-1,0,-1,0,-4,rest
1,-1,1,-1,0,1,0,0,rest
0,5,1,1,0,-1,1,-1,rest
-7,-6,-2,-2,-2,-2,-1,17,rest
-4,-7,-4,0,-1,0,-2,6,rest
5,-3,1,-1,0,-1,0,-6,rest
-5,-3,-1,-1,-1,-2,-1,-4,rest
2,0,0,-1,0,0,1,-4,rest
-11,-4,-2,0,0,0,1,-11,rest
0,0,0,-1,-2,0,2,-1,rest
-5,-5,-3,0,-2,-1,-2,-3,rest
-7,-1,-2,0,0,0,0,-2,rest
0,-1,1,-1,-2,0,1,-4,rest
1,0,0,-1,-1,-3,0,-7,rest
7,2,1,1,1,-1,1,-1,rest
-2,-5,-4,-1,-2,0,0,0,rest
-1,0,-1,0,-1,1,0,-2,rest
1,1,0,1,-2,1,1,1,rest
2,0,0,0,-1,-1,0,-3,rest
-5,5,3,-2,-1,-1,0,-3,rest
-7,-1,0,-2,0,0,1,-4,rest
-3,0,-1,0,-1,0,1,-2,rest
-6,-2,-2,0,-1,-1,0,0,rest
4,0,-2,0,-1,-2,0,1,rest
-20,-2,0,-1,-1,-1,1,-10,rest
-1,1,1,0,-1,-1,0,-4,rest
-15,-2,-1,-3,-2,0,-1,-9,rest
-3,-4,-1,-2,-2,-2,-1,3,rest
5,2,1,1,1,0,0,2,rest
8,6,1,2,-2,0,1,-5,rest
3,1,0,1,-2,0,1,-9,rest
8,2,-1,0,-1,-1,2,-4,rest
-5,-3,-2,-1,-1,-1,-3,7,rest
1,-2,0,0,0,1,-1,3,rest
2,2,-1,-2,0,-1,2,-4,rest
1,-1,-1,-2,-1,-2,0,-3,rest
-6,-5,-2,-2,-1,0,0,-4,rest
-1,2,-2,0,0,-1,-1,6,rest
-2,2,1,-1,-2,0,0,-3,rest
-7,-3,-1,-1,0,1,2,-4,rest
1,0,-1,-1,-1,0,0,-2,rest
5,-2,-1,-1,-2,-1,0,-5,rest
5,-1,-1,-1,0,0,0,1,rest
-7,2,0,-1,0,-2,-1,-5,rest
-7,1,-1,-1,-2,-2,0,9,rest
-5,0,0,1,-2,1,0,0,rest
1,-4,-1,0,2,-1,0,-7,rest
1,2,0,-2,-2,0,2,-8,rest
4,0,-1,-3,0,1,-1,-4,rest
3,1,-2,1,-1,0,0,-2,rest
-1,-1,-1,1,0,0,1,-1,rest
3,4,2,0,-2,-1,0,5,rest
4,-2,-1,2,-1,0,-1,4,rest
4,3,0,-2,-2,-2,2,-2,rest
-25,2,0,-1,-1,0,0,4,rest
1,1,-1,0,-1,-1,-1,9,rest
-1,-3,-2,0,-1,-1,0,-3,rest
3,2,1,-1,1,1,1,-4,rest
-1,-3,-1,-2,-1,-2,1,-5,rest
-7,-8,-4,-2,-3,-1,-1,-11,rest
3,-1,-1,1,0,-2,-1,3,rest
10,2,-1,0,0,0,1,-2,rest
-1,-5,-3,-1,-1,-1,1,-3,rest
-11,1,0,0,-1,-1,-1,-5,rest
-3,-2,-2,0,0,-1,1,-1,rest
1,-2,-1,-1,0,1,0,6,rest
6,1,-1,-1,0,-1,1,-1,rest
-15,-3,-3,0,-1,0,-2,-1,rest
-6,-4,-2,-1,-1,-1,1,-5,rest
4,2,0,-1,-1,-1,1,0,rest
-1,-1,-2,-1,0,-1,-1,-8,rest
-9,-7,-3,-2,-3,-1,0,-1,rest
-2,1,0,-1,-1,0,0,-6,rest
8,1,2,0,0,0,0,-2,rest
3,0,0,0,0,-1,1,-2,rest
-1,-1,0,1,-1,0,2,-5,rest
-11,-4,-1,-1,-1,0,-4,8,rest
8,0,1,0,0,0,2,-2,rest
2,0,-1,-1,-1,-1,1,-5,rest
1,-2,0,1,0,-2,0,-4,rest
-3,0,-1,1,-1,0,0,-4,rest
-1,0,-1,0,-1,0,1,0,rest
3,0,0,-2,-1,0,-1,-3,rest
5,-1,-3,-1,0,-2,1,-1,rest
0,-2,0,1,-1,0,0,14,rest
8,2,-1,1,-1,0,1,-5,rest
2,1,0,-1,-2,-1,1,-1,rest
19,-6,-2,1,-1,0,0,1,rest
1,2,-1,-1,0,-1,0,-5,rest
-1,-2,0,-2,-2,0,-1,3,rest
8,0,1,0,0,0,1,-5,rest
1,2,1,1,-1,0,1,-1,rest
-2,-2,-1,-1,-2,0,0,-2,rest
3,-2,-2,-1,-1,-1,0,0,rest
2,2,1,0,0,-2,1,-1,rest
8,1,1,0,0,0,2,-6,rest
2,1,-1,1,1,1,1,-2,rest
-4,2,0,-1,-2,0,-1,0,rest
1,-2,0,0,-1,-2,0,14,rest
-17,-5,-3,0,-2,-1,0,-5,rest
4,2,0,-1,0,0,1,0,rest
6,-3,-4,0,-1,-1,1,-5,rest
-6,-3,-1,-1,0,-1,0,-7,rest
8,2,1,1,1,0,0,0,rest
-4,0,0,-2,-1,-2,1,-4,rest
0,-1,0,-1,-1,1,0,-12,rest
8,0,-1,0,-1,-2,0,-1,rest
-2,0,-1,-1,0,0,0,-4,rest
9,1,1,1,0,-1,2,-3,rest
2,0,-1,-1,-2,0,0,-4,rest
-5,0,0,-1,-2,-2,1,2,rest
-4,-1,-1,0,-1,0,1,-3,rest
2,0,-2,1,-1,-1,1,-1,rest
2,-1,-1,-1,-1,-2,2,-9,rest
3,2,1,-1,-2,-2,1,-1,rest
2,3,0,0,0,0,0,-4,rest
-5,-4,-2,-1,0,1,0,-4,rest
-4,-6,-8,-2,-1,0,-2,-4,rest
-12,-6,-2,-1,-2,-1,0,-7,rest
-1,7,2,1,0,1,2,-1,rest
-4,-1,0,0,0,-1,2,6,rest
1,-3,-1,0,-1,-1,1,-2,rest
-3,-4,-3,0,-1,0,-2,4,rest
0,1,0,-1,-1,0,-1,12,rest
-4,-4,-3,-1,0,0,2,-2,rest
0,-2,-2,0,1,0,1,-9,rest
1,-1,-3,2,-1,-1,0,8,rest
2,0,0,-1,0,-1,1,-2,rest
-4,0,0,-1,-1,-2,1,-3,rest
-3,-1,-1,1,0,-1,0,-1,rest
-2,-1,-2,0,-1,1,0,-3,rest
-3,-1,-1,-1,-2,-1,0,2,rest
2,-1,-2,0,-2,-1,0,-2,rest
-5,-1,-1,0,-2,0,0,-1,rest
-3,0,0,1,0,0,1,1,rest
-5,-4,-4,-2,-1,0,0,-2,rest
-2,-2,-3,0,0,0,-1,-3,rest
-2,2,1,2,0,-1,0,-3,rest
1,0,-2,-1,0,0,1,-3,rest
2,0,1,-2,1,-1,1,-1,rest
-2,1,1,-2,-1,0,0,-2,rest
0,-5,-1,-1,-2,-2,0,-4,rest
-3,1,0,-1,-1,-1,0,15,rest
-2,-3,-3,-1,-1,-1,1,-5,rest
1,0,-1,-1,0,-1,-2,-4,rest
9,2,0,1,-1,0,0,-3,rest
1,-1,-2,0,-2,-2,-1,-5,rest
4,3,-2,0,0,-1,2,-4,rest
-4,-1,-1,-2,-1,-1,0,13,rest
2,-1,-1,-1,-1,0,0,-3,rest
2,1,1,-1,-1,-1,0,-2,rest
-3,-1,0,1,0,-1,1,-10,rest
-1,-2,0,0,0,0,0,-5,rest
1,1,-1,-1,-1,0,-1,1,rest
0,0,-1,0,-2,-1,-1,1,rest
-1,0,-1,-1,-2,0,1,-1,rest
-6,-1,-2,-2,-2,-1,0,-5,rest
4,0,0,-1,0,-2,0,0,rest
0,0,0,-1,-1,0,1,-6,rest
3,0,-1,-1,-3,-2,0,-1,rest
0,2,-1,0,-1,-1,0,-3,rest
-1,0,0,-1,-1,-1,0,-9,rest
4,-3,-3,-1,-1,0,-1,-2,rest
4,5,-1,0,-2,0,0,-1,rest
1,1,0,0,0,0,1,3,rest
-1,1,0,-2,-1,-1,0,-1,rest
4,3,2,0,-2,-1,1,0,rest
-4,-2,-1,-1,-1,-2,2,-5,rest
-4,-2,-2,-1,0,-1,1,-5,rest
11,-4,0,0,-1,-1,2,1,rest
1,1,-2,0,0,1,1,0,rest
4,2,-1,-2,-1,-1,-1,-1,rest
8,1,1,-1,-1,-1,2,-1,rest
-1,-4,-3,-3,-1,-1,-1,1,rest
0,-1,-2,0,0,1,1,0,rest
1,0,-2,0,1,0,0,-3,rest
4,0,-1,-1,-1,0,-1,1,rest
1,1,0,0,0,-1,-1,-3,rest
-2,-5,-1,-1,-1,-2,1,-1,rest
-5,-1,-2,-1,1,-1,0,-8,rest
2,-3,-3,-1,-2,0,0,-13,rest
-2,-2,-2,-2,0,0,0,0,rest
-6,-7,-3,0,-1,-2,0,-3,rest
2,-1,2,1,-1,-2,-1,8,rest
-4,-1,-1,-1,-1,0,0,-2,rest
-2,-2,0,0,-1,-1,1,-6,rest
3,-1,-3,-1,-1,-1,-2,-2,rest
4,3,-1,-1,-1,0,1,-3,rest
2,-1,0,-1,0,-1,-1,2,rest
-2,-3,-1,-1,-1,-1,-1,13,rest
9,1,-4,0,-1,0,1,-2,rest
5,3,1,-1,1,1,2,0,rest
2,-2,-1,0,-1,0,1,-4,rest
-2,0,-1,1,0,0,1,-1,rest
1,4,0,1,-1,-2,0,16,rest
0,4,1,0,0,-1,2,-8,rest
-1,-4,-3,-1,-1,-1,0,19,rest
0,1,-2,0,-1,0,-1,5,rest
6,-1,0,0,-2,0,1,-8,rest
3,1,-1,-1,-2,-1,0,-3,rest
3,-4,-2,-1,0,-1,-1,11,rest
-6,-1,-3,-1,0,0,0,-5,rest
1,1,-1,-1,0,0,0,-6,rest
-5,1,-1,-2,0,0,1,1,rest
5,-1,-3,-1,0,1,1,-2,rest
-2,0,-2,0,-1,-2,-1,-1,rest
-4,-2,0,0,0,-1,1,-9,rest
-27,-5,-2,-1,0,0,-1,-6,rest
-2,-1,0,-1,-3,-1,0,-1,rest
-13,-1,-1,0,-1,0,1,-2,rest
0,0,-1,-1,-3,-1,1,-6,rest
-1,-2,0,0,1,0,0,1,rest
4,3,1,1,-2,-2,0,1,rest
-5,-2,-1,-2,0,1,0,-1,rest
1,-4,-1,0,0,-2,-1,15,rest
1,6,1,0,-1,1,1,-1,rest
-6,-3,0,-1,0,1,1,-7,rest
-3,1,-1,-1,-1,-1,-1,1,rest
0,-3,-1,-2,-2,-1,1,-3,rest
-10,-5,-1,-1,-1,-1,0,-11,rest
-4,-4,-2,-2,-1,-1,2,-3,rest
7,-1,0,0,-1,0,-1,-2,rest
-12,-2,-2,-1,-2,0,0,-9,rest
-2,-1,-1,-1,-1,-2,-1,0,rest
-2,1,-1,0,-2,1,1,1,rest
-2,-2,-2,1,0,0,0,-1,rest
11,0,-2,0,-1,1,0,5,rest
3,-1,-2,0,-2,-1,0,12,rest
-3,-1,-1,0,0,0,0,-4,rest
6,-3,-1,0,-1,0,-1,1,rest
-2,-3,-2,-2,0,0,1,5,rest
-2,-2,-1,1,-1,-2,0,0,rest
-2,-2,-3,-1,-1,-1,0,-5,rest
-1,-2,-4,-2,0,1,2,-5,rest
1,-1,-1,0,-1,-1,0,1,rest
9,2,-2,0,0,0,-1,0,rest
1,1,0,-1,0,0,0,-3,rest
2,0,2,1,-1,0,2,-5,rest
2,-2,0,0,-1,-1,0,-2,rest
-2,-1,0,0,1,1,0,-6,rest
3,-1,-1,0,-2,-1,1,1,rest
-4,1,0,-1,0,0,0,-4,rest
-1,1,-1,-2,0,0,2,2,rest
0,0,3,1,-3,0,0,-4,rest
-5,-6,-4,0,-1,-1,2,-7,rest
1,1,-1,-1,-1,-1,1,1,rest
5,0,1,0,1,0,1,-2,rest
-3,-2,0,0,-1,0,2,-4,rest
-1,1,0,1,-1,0,0,1,rest
0,-2,-1,0,0,-1,1,-3,rest
7,1,0,1,0,0,-1,1,rest
